doc_id,doc_title_ger,doc_title_eng
1122545436,Wasserstoffspeicherung in LOHC-Systemen als Basis für industrielle Energiespeicheranwendungen,Hydrogen storage in LOHC systems as a basis for industrial energy storage applications
112254572X,"Bewegung und Zerfall gasbeaufschlagter, laminarer Suspensionsstrahlen im Zentrifugalfeld","Movement and decomposition of gas-charged, laminar suspension streams in a centrifugal field"
1122545738,Kooperationen zwischen Wohnungsgenossenschaften und Genossenschaftsbanken,Cooperation between housing cooperatives and cooperative banks
1122545835,Aktuelle Bloch-Studien 2013-2014,Current Bloch Studies 2013-2014
1122568894,"Analyse, Begründung und Entwicklung von Verbandssportabzeichen im deutschen Sportsystem Konkretisierung am Beispiel des Seesports","Analysis, Justification, and Development of Association Sports Badges in the German Sports System: A Focus on Water Sports"
1122586574,Die @Bedeutung der Histopathologie in translationalen Studien zu chronisch-entzündlichen Darmerkrankungen,The significance of histopathology in translational studies of chronic inflammatory bowel diseases
1122621744,Der @Andere in der Psychoanalyse Die intersubjektive Wende,The Other in Psychoanalysis: The Intersubjective Turn
1122742851,Bewertung der perioperativen Ergebnisse der Karotisendarteriektomie anhand klinischer Entscheidungskriterien,Assessment of perioperative outcomes of carotid endarterectomy based on clinical decision criteria
1122743416,Königsland? – Die Staufer und Ries,Kingsland? – The Staufer and Ries
1122764111,Konjunktur bleibt robust Prognose-Update: Die konjunkturelle Lage in Deutschland zur Jahreswende 2016/2017,The economic outlook for Germany at the turn of 2016/2017 remains robust.
1122825285,Charakterisierung des mRNA-Exportweges bei zellulärem Stress in Saccharomyces cerevisiae,Characterization of the mRNA export pathway in Saccharomyces cerevisiae under cellular stress
1122830890,Weisheit oder Wissen Aspekte eines komplexen Therapiekonzeptes und einer existentiellen Patientenautonomie,Wisdom or Knowledge Aspects of a Complex Therapy Concept and Existential Patient Autonomy
1122831242,Die @geistliche Dimension der Begleitung von Menschen im Strafvollzug der Dienst der Kirche im Gefängnis,The spiritual aspect of accompanying people in prison is the church's service in the prison.
1122831560,Zur Kulturgeschichte moderner Wahlen in vergleichender Perspektive eine Einleitung,An Introduction to the Cultural History of Modern Elections in a Comparative Perspective
1123071527,Purpurogallin als Inhibitor der Thrombozytenaggregation Untersuchungen zur Signaltransduktion,Purpurogallin as an inhibitor of platelet aggregation Investigations of signal transduction
1123071578,Der @Nitrattransporter AtNRT1.5/AtNPF7.3 - Ein Schlüsselprotein in der Regulierung des pflanzlichen Kaliumhaushaltes,The @Nitrate Transporter AtNRT1.5/AtNPF7.3 - A Key Protein in Regulating the Plant Potassium Balance
1123118442,Differenzierung von Rahmenwerken des IT-Risikomanagements,Differentiation of IT Risk Management Frameworks
1123118515,Sieg der Defensive? Evidenz für die 1. Deutsche Fußball-Liga,Victory of Defense? Evidence for the 1. Bundesliga
112312177X,Interne Treiber von CSR-Publizität: Der Einfluss von Corporate Identity,Internal drivers of CSR publicity: The influence of corporate identity
1123191123,Legitimität junger Demokratien Jahrestagung 2016 des DVPW-Arbeitskreises Demokratieforschung am 3. und 4. November 2016 am Deutschen Institut für Entwicklungspolitik in Bonn,"Legitimacy of Young Democracies: Annual Conference 2016 of the DVPW Working Group on Democracy Research on November 3 and 4, 2016, at the German Institute for Development Policy in Bonn"
1123282773,"Die @Reihe und ihre organischen und mechanischen Instrumente Helmholtz, Mach, Schönberg","The @Row and its organic and mechanical instruments Helmholtz, Mach, Schoenberg"
1123282838,Pathos und Ethos eine aristotelische Betrachtung,Pathos and Ethos: An Aristotelian Perspective
1123282862,Mit der Leidenschaft des Anderen ein Kurzführer durch das Werk von Thomas Hirschhorn,A brief guide through Thomas Hirschhorn's work with the passion of another
1123283249,Entwicklungsbiologie bei dem Hyphenpilz Sordaria macrospora,Developmental biology in the hyphen-forming fungus Sordaria macrospora
1123323224,Damage-Control-Konzepte,Damage-Control Concepts
1123323739,dvs Informationen,information
1123335826,Lehranalyse und Institution Die Progression des Verstehens ist im Rahmen des organisierten Vertrauens möglich,Learning analysis and institution The progression of understanding is possible within the framework of organized trust
1123380538,Beten beim Zahnarzt,Praying at the dentist
1123414971,Homo Creans Kreativität und Kreativitätsbildung im Kontext transmedialer Kunst,Homo Creans: Creativity and Creativity Development in the Context of Transmedial Art
1123415145,Vorübungen zum Schreiberwerb: Schwungübungen Lernvoraussetzungen im Anfangsunterricht (1. Klasse/Vorschule),Exercises for handwriting practice: Swing exercises for early education (age 1 to 2 years)
1123421218,Lexikon der Science Fiction-Literatur seit 1900 Mit einem Blick auf Osteuropa,Encyclopedia of Science Fiction Literature since 1900 with a view to Eastern Europe
1123476829,Leuchten und Leuchttürme : diskursanalytische Studien zur Distinktion im deutschen Bildungssystem,Luminaires and Lighthouses: Discursive Analytical Studies on Distinction in the German Education System
1123477132,Schamkultur und Schuldkultur : Revision einer Theorie,Shame Culture and Guilt Culture: A Revision of a Theory
