doc_id,label_id
1122545738,040118827
1122545738,951385941
1122545738,040329348
1122545738,040786048
1122545835,118607057
1122545835,945843526
1122545835,118511742
1122545835,040457915
1122545835,949301329
1122586574,042736978
1122586574,040725324
1122586574,041642236
1123477132,041223438
1123477132,04053460X
1123477132,041143280
1123477132,04077628X
112347995X,04130585X
112347995X,040359646
1123481415,041948718
1123481415,041250354
1123481415,040198383
1123481415,040414213
1123481415,04132482X
1123481415,04202787X
1123644314,959109064
1123644314,041214889
1123644314,041701704
1123644314,040183262
1123644314,041778235
1123644314,041872762
1123644314,040181839
1123927022,040120465
1123928916,041261534
1124202757,118525069
1124202757,040470466
1124202757,040114139
1124202757,040154823
1124202757,04076527X
1124202757,040493962
1124202757,040603555
1124202757,040156028
1124507019,1016429800
1124507019,040602303
1124507019,040605957
1124902562,040262235
1124902562,041804910
1124902562,041375440
1125044241,04064037X
1125044241,040335690
1125044241,040223922
1125104864,04054608X
1125104864,040491978
1125104864,986505560
1125104864,042264200
1125229918,040564312
1125229918,040352544
1125229918,041628640
1125229918,041900219
1125229918,040563995
1125229918,1014675839
1125229918,1019753552
1125461594,040714977
1125461594,040352625
1125461594,041557417
1125541288,040221539
1125541288,041502175
1125541288,04049716X
1125541288,040157016
1125541288,040183378
1125929316,967555604
1125929316,041209818
1125929316,040166066
112612365X,1148362002
1126197157,040014460
1126197157,040318834
1126197157,040773493
1126197157,040264823
1126216712,040459772
1126216712,04054365X
1126216712,04316613X
1126216712,04148259X
1126216712,041535219
1126216712,1251891020
1126254452,040789217
1126254452,04113446X
1126254452,040736792
1126254452,040316300
1126524956,040212793
1126524956,041274946
1126524956,041703839
1126524956,040143279
1126524956,041506340
1126895326,040005712
1126895326,041619536
1126895326,041358384
1126895326,042946115
1126895326,04061963X
1127044397,949107816
1127044397,041618203
1127044397,041370422
1127044397,042299799
1127044397,945735170
1127044397,04173534X
1127045377,940431181
1127045377,041405900
1127045377,040183688
1127045377,041844998
1127045377,040690083
1127045377,98972381X
1127075470,041985788
1127075470,949695505
1127193538,041352319
1127193538,041887379
1127194852,04010074X
1127194852,040332292
1127626248,040702464
1127626248,040605957
1127626248,041858530
1127626248,041252179
1127678930,04060344X
1127678930,040344533
1127678930,040344509
1127678930,04198756X
1127678930,041758749
1127957120,040334228
1127957120,041332326
1127957120,041298950
1128033682,040611639
1128033682,040028054
1128033682,040714977
1128033682,040037894
1128033682,04200053X
1128033682,040118827
1128074389,122203364
112811643X,124695329
1128151618,041654544
1128151618,040646890
1128151618,040142884
1128151618,040587827
1128151618,1012064581
1128151618,041544722
1128151618,1233691511
1128151618,040663876
1128151618,040664244
1128151618,04154773X
1128265826,981394035
1128265826,041989147
1128265826,041401956
1128265826,1127660101
1128407175,040654680
1128407175,957319304
1128407175,040120058
1128407175,040232484
1128506513,040621588
1128506513,040234932
1128506513,04075152X
1128506513,041949412
1128594420,041210948
1128594420,040398277
