label_id,label_freq
000002917,2
000002992,3
000003042,1
000003077,1
000003336,185
000003778,182
00000877X,3
000010111,3
000010375,2
000010421,13
000010847,5
000010944,1
00001365X,2
000013897,2
000021245,15
000021881,15
000022942,11
000028851,1
000030082,11
000035114,8
000042358,14
000043672,18
000045640,15
000047171,1
00004783X,1
000049484,21
000051578,72
000053112,1
000060127,15
00006064X,1
000062138,1
00006548X,11
000065536,5
000065609,1
000066486,1
000067016,13
00006744X,2
000068160,1
000068403,2
000068519,1
000069833,1
000070718,1
000070831,2
000072303,113
000072354,1
000073245,1
000073369,36
00007361X,2
000074098,34
000075353,1
000076481,2
000076694,1
000076740,6
00007862X,5
000078670,1
000078719,14
000078778,4
00007991X,4
00008171X,1
00008302X,1
000083062,1
000083518,4
00008493X,1
000085138,4
000085529,2
000085820,1
000085995,1
000086029,1
000086193,3
000088196,1
000088625,1
000089893,35
000090433,15
000090468,4
000090778,1
000091014,1
000093319,1
000093963,1
000094099,1
000094374,1
000095338,1
000096636,4
000096849,1
000096970,1
000097071,1
00009725X,2
000097489,1
000097918,1
000097969,1
000098027,1
000098620,1
000101087,1
000101923,6
00010213X,1
000102318,1
000102415,1
000102733,1
000103322,3
000103543,2
000103578,9
000107239,2
000107255,1
000107506,1
000107522,1
000107867,4
000108219,1
000108235,1
00010826X,1
000108642,1
000108804,1
000109029,2
000109037,1
00010910X,1
000109290,1
000109339,1
000109851,1
000110337,3
000111716,1
000112100,3
000112399,1
000113301,1
000113603,2
00011393X,1
000114332,1
000114626,1
000114839,1
000114936,1
000115320,1
000115339,3
000115355,1
000115398,1
000115630,1
000115665,1
000117900,1
000130117,1
000132535,2
000132608,2
000133035,2
000133159,1
000133884,6
000135828,1
000136514,4
000137146,4
000137286,13
000138207,14
000138576,1
000142166,1
000142670,2
000145130,1
000145432,8
000145750,1
000146854,2
000147478,15
000147672,40
000147818,1
000147974,1
000148210,1
000148245,2
000148695,2
000149489,1
00015007X,3
000150185,1
000150398,1
000150770,1
000150908,2
000151165,1
000151602,1
000151769,1
000151866,1
000152056,1
000152455,1
000152951,1
000153311,1
000153605,1
000153656,1
00015377X,1
000153796,1
000153893,1
000154059,1
000154830,1
000155144,3
000155233,4
000155330,1
000155365,1
000156493,1
000156728,2
00015704X,1
000157341,1
000157473,2
000157597,4
000157937,1
000158046,1
000158216,1
000158429,4
000159549,1
000159662,1
000159727,1
000160059,8
000160253,1
000160334,1
000161047,1
000161403,3
00016254X,5
000163910,1
000164232,1
000170119,1
000170356,1
000170437,2
000170496,1
000170704,1
00017078X,1
000170801,24
000171026,1
000171247,2
000171689,3
000171891,1
000171999,1
000172391,1
000172642,2
000172650,1
000173061,1
000173169,3
000173401,1
000173479,1
000173517,3
000173592,1
000173746,1
000173819,1
000173851,5
000173983,1
000174025,1
000174165,1
000174343,1
000174440,8
000175579,3
000175587,1
000175927,1
000176028,1
000176168,3
000176192,1
000176389,1
000176907,2
000176974,1
000176990,1
000177350,2
000177466,1
000177601,1
00017842X,1
000178462,1
000178632,1
00017873X,7
000178861,4
000179035,1
000179051,2
000179426,1
000179469,1
000179566,1
00017968X,1
000179760,4
000179787,1
000179795,1
000179876,14
000179930,1
00017999X,1
000180181,6
000180491,5
000180602,1
00018070X,1
000180718,1
000180726,59
000180890,3
000180963,1
000181080,3
000181218,1
000181315,1
000181331,1
000181358,7
000182214,1
000184438,1
000185124,1
000185191,1
000185205,1
000185531,1
000185574,4
000185760,1
000185876,2
00018635X,1
000186414,1
000186554,1
000186600,1
000186686,2
000186708,2
000186724,1
000186791,1
000186961,1
000187402,4
000187410,2
000187437,1
000187992,1
00018800X,2
000188077,1
000188387,1
000188719,1
000188832,1
00018912X,1
000189170,1
000189480,1
000189766,1
000189944,8
000191124,1
000191280,1
000191655,1
000194123,1
000194131,1
000194336,2
000194557,15
00019462X,1
000195286,1
000195847,1
000196088,2
000196207,1
000196606,2
00019672X,1
000196959,1
000196967,1
000196975,1
00019705X,1
000197637,2
000197734,38
000197750,4
000197831,2
000197882,1
000198269,1
000198420,1
000198714,1
000198919,1
000199354,1
000199370,11
000199443,7
000200441,1
000200530,1
000200883,1
000240605,2
00024144X,1
000241911,1
000241946,2
00024208X,1
000243191,1
000243221,1
000243485,1
000243531,1
00024354X,1
000243876,2
000244953,2
000245089,1
00025035X,1
000251011,1
000251453,5
00025147X,13
000251534,2
000251623,1
000252778,1
000252859,1
000253448,4
000254088,1
000254096,2
000254908,1
000254983,1
00025617X,1
00025679X,11
00025732X,1
000257672,3
000258806,114
000258814,132
000258822,34
000259012,3
000259284,1
000259438,3
000259667,1
000259683,7
000259896,1
000260657,1
000260959,23
000261467,2
000261475,11
000261505,1
000261548,1
000261564,1
000261599,381
000261610,1
000261637,2
000261645,1
000263273,2
000263303,1
000263311,12
00026332X,7
000263753,15
000264539,1
000265128,1
000265802,1
000265810,1
000267635,1
000268011,1
000269913,2
000270261,1
000270393,2
000300004,1
000300268,48
000300683,2
000300837,2
000301167,1
000301590,1
000301809,1
000302201,2
000302457,1
000302538,3
000303070,1
00030316X,1
00030333X,58
000303364,2
000303593,6
00030381X,2
000303887,1
000303909,3
000303941,6
000304697,1
000304948,1
000305006,1
000305367,9
000305383,2
000305405,1
000305472,2
000305510,1
000305626,1
000305669,1
000306010,3
00030607X,7
000306185,2
000306266,1
000306444,1
000306568,3
000307068,2
000307505,6
000307637,4
000307688,30
00030834X,1
000309168,4
000309222,3
000309338,1
000309575,1
000310123,2
000310212,2
000310409,1
000310484,1
000310549,4
000310662,2
000310859,1
000311170,2
000311987,1
000312088,1
000312290,1
00031241X,2
000312452,2
000312460,1
000312487,1
000312851,27
000312878,1
000313084,6
000313165,1
000313319,1
000313343,64
000313351,4
00031336X,20
000313823,2
000313890,2
000314412,1
000314633,2
000314641,1
00031563X,1
000315737,7
000316075,5
000316253,1
000316261,1
00031644X,7
000317020,6
000317039,9
000317047,1
000317071,1
000317233,1
000317454,1
000317624,1
000317659,1
000318167,9
000319317,2
000319643,1
000319848,1
000320102,1
000320145,5
000320153,15
000320315,1
000320420,1
000321214,1
000321249,8
000322172,1
000322512,5
000322628,1
000322709,1
000322997,1
000323039,4
000323136,2
000323225,1
000323918,1
000324760,1
000325023,31
000325376,4
000325988,1
000326372,2
000326402,1
000327301,1
00032731X,1
000327603,1
000328235,1
000329010,2
000329223,2
000329274,2
000329290,3
000329304,1
000329940,1
000330124,1
000330256,1
000330604,1
000331805,4
00033183X,2
000331856,3
000331864,1
000332143,1
000334510,1
000334561,1
000334588,2
00033460X,2
000335649,1
00033586X,3
000336106,1
000336351,4
000336882,1
000338680,1
000339199,1
00033927X,1
000339326,1
000339849,1
000340421,1
000344788,1
000345989,1
000346411,1
000347000,1
000348023,3
000350001,1
000350516,3
000350524,2
000350559,9
000350656,1
000350737,2
000350745,53
00035077X,2
000350826,2
000350877,1
000350885,1
000350958,1
000350974,3
000350990,11
000351008,17
000351016,12
000351024,174
000351032,7
00035113X,1
000351148,11
000351164,5
000351180,41
000351199,1
000351415,2
000351431,9
00035158X,9
000351636,9
000351741,3
000351865,1
000351873,12
00035189X,1
000351946,34
000351954,7
000352004,1
000352101,1
000352187,2
000352209,1
000352217,3
000352225,5
000352306,1
000352314,1
000352373,1
000352403,1
000352411,1
00035242X,2
000352551,1
000352624,5
000352632,1
000352667,1
000352705,8
000352748,4
000352799,1
000353310,2
00035337X,11
000353418,4
000353531,4
000353582,15
000353590,2
00035371X,1
000354333,21
000354392,922
000354473,1
000354538,2
000354562,5
000354686,1
000354759,1
000354872,1
000354953,13
000355240,2
000355259,1
000355348,41
000355399,1
000355402,1
00035578X,5
000356220,8
000356239,1
000356263,1
00035628X,1
000356328,36
000356506,25
00035662X,1
000356727,11
000356913,2
000357065,2
00035709X,6
000357146,3
000357391,7
000357421,2
000357774,1
000357855,3
000358010,1
000358339,1
000358487,2
00035855X,3
000358576,5
000358584,3
000358592,3
000358630,2
00035869X,5
000358703,2
000358797,13
000358800,2
000358827,3
000358843,2
00035886X,21
000358878,11
000359130,4
000359157,4
000359173,1
000359181,1
000359920,1
000360090,1
000360120,2
000360627,1
000361054,1
000361461,23
00036150X,71
000361526,20
000361534,1
000361542,30
000361577,22
000361585,25
000361623,14
00036164X,67
000361658,23
000361674,1
000361755,49
00036181X,2
000361836,4
000361844,12
000361852,2
000361860,13
000361879,33
000361895,24
000361909,14
000361933,5
000361941,7
000361976,2
000361984,2
00036200X,11
00036214X,4
000362255,36
000362263,1
000362271,18
000362301,17
000362328,1
000362336,1
000362352,3
000362379,1
000362417,20
000363448,11
000363618,1
000364002,1
000364169,1
000364363,2
00036441X,29
000364622,8
000365009,19
000365149,1
000365173,1
000365831,1
000366072,1
000366196,4
000366382,2
000366390,3
000366455,2
000366471,1
00036651X,1
000366870,1
000367044,1
000367060,3
000367672,1
00036777X,1
000368180,2
000368210,29
000368288,3
000368725,1
000368881,2
000368903,1
000370053,1
000370193,2
000370207,2
000370371,42
000370398,1
00037041X,1
000370436,2
000370487,1
000370509,2
00037055X,2
000370703,1
000370738,1
000370762,2
000370894,2
000370932,1
000370959,6
000370975,3
000371009,14
000371017,5
000371025,12
000371084,1
000371149,40
000371211,1
000371246,6
000371343,3
000371491,1
000371572,1
000371637,2
000372064,1
000372110,2
00037220X,1
000372528,19
000372692,1
000372765,1
000372862,1
000373206,1
000373648,1
000373729,1
000373907,5
000373931,6
000374199,2
000374555,3
000374571,3
000374911,5
000374989,26
000375101,1
00037542X,2
000375438,1
000375586,9
000376132,1
000376140,2
000376353,3
000376574,11
000376612,1
000377368,1
000377414,1
000377449,1
000377481,5
00037749X,1
000377619,1
000377767,5
000377775,2
000377872,1
000377899,1
000377937,2
00037797X,4
000378135,2
00037816X,1
000378178,1
000378305,1
000378410,2
000378631,4
000378860,47
000378887,23
000379042,6
000379123,1
000379158,1
000379972,3
000380504,2
000380784,1
000381047,2
000381055,1
000381144,1
000381195,1
000381349,1
00038156X,1
000381594,1
000381616,3
000382299,16
000382302,5
000382310,1
00038321X,1
000383279,1
000383295,37
00038352X,1
000383791,7
000383848,2
000384003,1
000384070,3
000384178,2
000384291,5
000384380,1
000386324,3
000386332,13
000387045,1
00038710X,5
000387207,1
000387312,1
000387533,1
000387622,2
000387665,2
000387681,1
000387703,1
000387711,1
000387754,1
000387770,31
000387797,1
000387967,4
000388971,1
000389056,1
000389358,2
000389374,1
000389404,2
000389536,2
000389668,6
000389722,1
000389838,1
000389919,1
000389935,4
000390003,1
000390275,1
00039033X,1
000390372,1
000390399,1
000390429,2
000390488,2
00039050X,2
000390585,5
000390704,1
000390895,16
000391409,1
000391697,1
00039257X,1
000392723,2
00039310X,1
000393177,1
000393495,1
000393525,4
000393541,5
000393878,1
000394092,1
000394246,1
000394327,1
000394548,10
000394599,1
000395447,1
000395463,1
00039548X,31
000395587,1
000395692,4
000395951,1
000396028,2
000396044,3
000396281,9
000396613,1
000396869,1
000397059,1
000397083,6
000397180,1
000397385,3
000397571,1
000397873,1
000398349,1
000398632,6
000398926,1
000399175,1
000399639,1
000399663,1
00039968X,1
000400270,1
000400572,1
000400580,1
00040070X,1
000401137,1
000401684,1
00040215X,1
000402265,1
000402346,2
000402508,1
000402680,12
000402699,13
000402702,3
000403008,1
000403350,10
000404098,1
000404195,3
000404217,3
000404322,1
000404403,9
000405337,1
000405795,1
000405809,1
000406007,9
000406066,1
000406104,3
000406570,19
000406805,9
000406910,1
000410799,2
000411183,2
000411396,1
000412376,1
000412848,1
000413208,2
000413399,2
000413518,1
000413593,1
000413976,3
000413984,1
00041431X,6
000414999,1
000415529,1
000415650,1
000416312,1
000416428,1
000416983,1
000417920,1
000419710,1
00041994X,1
00042000X,1
000420026,1
000420743,1
000422657,1
000422762,1
000422924,1
000423424,5
000423513,1
000423580,10
00042367X,1
000423912,1
000423920,1
00042403X,3
000424161,1
00042420X,1
000424927,7
000424935,1
000425125,1
000425486,2
000425613,1
000425869,1
000426334,2
000426369,1
000426822,2
000426830,6
000427411,1
000427608,1
000427810,1
000427861,17
00042787X,1
000428000,1
000428035,1
000428469,2
000428949,1
000429414,1
000429422,1
